,Operating_Cash_Flow_(ttm),Gross_Profit_(ttm),Enterprise_Value,Revenue_(ttm),EBITDA,Market_Cap_(intraday),Float_8,Operating_Margin_(ttm),Return_on_Assets_(ttm),Profit_Margin,Quarterly_Revenue_Growth_(yoy),Price/Book_(mrq),Revenue_Per_Share_(ttm),Enterprise_Value/Revenue,PEG_Ratio_(5_yr_expected),Current_Ratio_(mrq),50-Day_Moving_Average_3,Diluted_EPS_(ttm),Enterprise_Value/EBITDA,Total_Cash_Per_Share_(mrq),Beta_(5Y_Monthly),Forward_Annual_Dividend_Rate_4,Book_Value_Per_Share_(mrq),Price/Sales_(ttm),Forward_P/E,200-Day_Moving_Average_3
APA,4.39,7.64,18.21,10.22,6.14,12.42,0.28989,0.4621,0.2299,0.19890000000000002,-0.272,27.97,31.62,1.75,,1.11,35.31,6.37,3.12,0.5,3.52,1.0,1.44,1.25,7.36,39.67
BKR,2.82,4.43,39.95,23.3,3.34,36.12,0.9630299999999999,0.09820000000000001,0.0409,0.049400000000000006,0.251,2.39,23.14,1.71,,1.28,31.8,1.15,12.61,3.81,1.51,0.8,14.99,1.55,22.37,29.86
COP,28.65,39.6,150.01,77.7,32.63,142.04,1.21,0.3207,0.1686,0.2039,-0.158,2.97,61.98,1.99,0.72,1.39,106.04,12.56,4.47,7.11,1.32,2.4,39.49,1.95,12.64,110.97
CTRA,5.63,7.64,22.51,9.09,6.97,20.91,0.70317,0.5866,0.16460000000000002,0.455,-0.21300000000000002,1.65,11.58,2.46,,1.66,25.31,5.22,3.21,1.28,0.28,2.1,16.7,2.38,12.59,25.62
CVX,41.3,98.89,310.82,214.19,51.04,303.41,1.76,0.1681,,0.1408,-0.271,1.92,112.74,1.45,,,156.51,18.52,6.01,8.34,1.16,6.04,84.18,1.45,12.18,166.87
DVN,7.1,11.33,40.24,15.96,8.85,34.45,0.63671,0.3985,0.17079999999999998,0.2995,-0.397,3.14,24.71,2.1,1.81,0.98,49.6,9.17,3.85,0.58,2.34,4.51,17.19,1.82,8.84,57.16
EOG,13.52,20.13,76.21,28.43,15.7,77.06,0.58262,0.41869999999999996,0.1881,0.33030000000000004,-0.174,3.03,48.72,2.69,2.61,2.17,116.64,16.0,4.87,8.58,1.55,3.3,43.51,2.73,11.44,122.79
EQT,4.31,9.72,18.53,8.85,6.62,15.07,0.35897,0.5655,0.14250000000000002,0.401,-0.75,1.26,24.25,2.07,0.69,1.11,39.07,9.0,2.88,3.36,1.21,0.6,33.2,1.94,17.24,36.01
FANG,6.3,8.17,33.03,7.74,6.3,26.5,0.17832,0.6152000000000001,0.11660000000000001,0.44689999999999996,-0.27,1.7,43.34,4.03,,0.43,134.02,24.14,5.27,0.1,2.03,6.88,86.79,3.22,8.14,139.79
HAL,3.09,3.24,42.26,22.41,5.06,35.29,0.89465,0.1832,0.1103,0.10980000000000001,0.14300000000000002,4.06,24.79,1.89,1.26,2.14,33.95,2.71,9.44,2.34,2.18,0.64,9.68,1.59,12.94,35.18
HES,4.2,7.89,53.59,10.68,5.14,46.55,0.28399,0.295,0.0907,0.1383,-0.223,5.63,34.85,4.98,9.88,1.54,136.73,6.56,10.33,7.24,1.6,1.75,26.9,4.36,29.15,138.73
KMI,5.2,7.29,70.02,17.14,6.41,39.13,1.94,0.247,0.0382,0.14650000000000002,-0.32,1.28,7.63,4.08,3.21,0.49,17.04,1.11,10.84,0.23,0.93,1.13,13.72,2.3,15.06,17.58
MPC,14.94,26.57,74.34,157.52,20.36,57.25,0.39903,0.10880000000000001,0.1169,0.0809,-0.321,2.13,348.1,0.43,15.65,1.84,116.85,32.58,2.72,28.65,1.63,3.0,63.49,0.38,7.74,119.57
MRO,3.55,6.15,21.84,6.72,4.54,16.17,0.6133500000000001,0.3793,,0.3045,-0.306,1.42,10.55,2.97,,,23.82,4.14,3.94,,,0.4,18.0,2.36,10.38,25.87
OKE,3.66,4.48,42.44,21.46,4.18,29.82,0.44422000000000006,0.16519999999999999,0.09150000000000001,0.1109,-0.17,4.18,47.93,1.98,1.8,1.18,61.69,5.31,9.6,1.52,1.63,3.82,15.94,1.39,12.52,63.8
OXY,14.18,24.57,84.49,31.6,16.37,55.86,0.8819,0.2969,0.0806,0.2151,-0.37,2.73,34.79,2.38,,1.04,59.47,8.75,4.09,0.55,,0.72,23.16,1.76,14.88,62.98
PSX,10.05,20.06,62.96,154.72,11.65,51.44,0.44383,0.063,,0.0707,-0.278,1.7,330.48,0.37,,,98.92,26.18,3.33,15.65,1.37,4.2,65.92,0.32,8.47,101.16
PXD,9.58,13.26,57.5,20.39,10.11,52.52,0.23145,0.3649,0.1278,0.284,-0.349,2.4,86.39,2.52,0.78,0.73,208.98,28.27,4.92,0.98,1.45,23.2,94.36,2.45,11.06,220.96
SLB,5.12,5.16,92.02,31.19,6.73,81.87,1.42,0.16030000000000003,0.0713,0.12630000000000002,0.14300000000000002,4.4,21.93,2.95,1.25,1.33,50.75,2.73,12.87,2.25,1.82,1.0,13.09,2.66,18.87,51.19
TRGP,2.8,4.05,30.44,20.49,3.49,18.45,0.22257,0.11080000000000001,0.0827,0.07830000000000001,-0.08800000000000001,7.23,90.36,1.49,1.87,0.66,74.8,3.85,7.88,0.94,2.27,2.0,11.28,0.92,12.53,73.13
VLO,10.82,19.22,51.72,151.76,17.6,45.47,0.35126,0.09910000000000001,0.1503,0.0721,-0.344,1.76,406.32,0.33,,1.59,115.73,35.12,2.89,14.37,1.65,4.04,73.21,0.31,6.18,125.23
WMB,5.6,6.08,65.51,11.2,6.16,41.54,1.21,0.3688,0.0535,0.2371,-0.172,3.54,9.19,5.69,2.24,0.49,31.78,2.12,10.16,0.45,,1.79,9.57,3.62,19.96,31.48
XOM,67.77,133.72,438.77,367.98,83.74,426.8,4.0,0.1795,0.113,0.1406,-0.272,2.14,89.25,1.21,1.69,1.48,104.99,14.77,4.73,7.38,1.08,3.64,49.72,1.22,11.78,108.93
AEE,2.5,3.34,37.75,7.88,3.06,22.23,0.26121,0.2207,0.0286,0.1416,0.061,2.1,30.23,4.64,2.71,0.62,83.48,4.17,11.65,0.03,,2.52,40.74,2.71,19.42,85.37
AEP,4.18,8.41,87.44,19.47,6.81,43.29,0.51452,0.1916,0.024900000000000002,0.102,-0.057999999999999996,1.81,37.87,4.49,2.58,0.61,84.76,3.85,13.09,0.99,0.45,3.32,46.4,2.23,15.87,90.01
