,Operating_Cash_Flow_(ttm),Gross_Profit_(ttm),Enterprise_Value,Revenue_(ttm),EBITDA,Market_Cap_(intraday),Float_8,Operating_Margin_(ttm),Return_on_Assets_(ttm),Profit_Margin,Quarterly_Revenue_Growth_(yoy),Price/Book_(mrq),Revenue_Per_Share_(ttm),Enterprise_Value/Revenue,PEG_Ratio_(5_yr_expected),Current_Ratio_(mrq),50-Day_Moving_Average_3,Diluted_EPS_(ttm),Enterprise_Value/EBITDA,Total_Cash_Per_Share_(mrq),Beta_(5Y_Monthly),Forward_Annual_Dividend_Rate_4,Book_Value_Per_Share_(mrq),Price/Sales_(ttm),Forward_P/E,200-Day_Moving_Average_3,LogReturn,Cost_of_Equity
APA,0.07037460764469476,0.06917681801402732,0.011683854798850826,0.024831684247826204,0.12701091236359546,0.006940019030492437,0.033647087431514046,0.6625320433308526,0.9264969523126568,0.5417357083678542,0.14707353676838422,0.062033171612320887,0.06108092898422111,0.032324152060095604,0.11044982698961936,0.014139216904909883,0.009611288213776792,0.26301714645272933,0.8015870312978919,0.00020406393323028107,1.0000000000000002,0.042690815006468305,0.08847871390294731,0.023302711180820074,0.016877017904314645,0.01185452665287878,0.3126209830128816,15.575137957899308
BKR,0.047346651412479096,0.04547803617571059,0.03066793576499559,0.06048464033581378,0.09551130610867364,0.02762913236667743,0.11890022265058044,0.36161415695030186,0.2488347077805665,0.38690969345484677,0.408704352176088,0.004310053029448269,0.0427263479145473,0.031413612565445025,0.19480968858131487,0.016780609073958983,0.00832219300436309,0.22196004404593364,0.8123602265890179,0.0018926929807108568,0.2846975088967972,0.03406640793445451,0.1288181006251861,0.03002464709836433,0.09030427551120243,0.007764026953098938,0.35336193566530405,4.612938511638731
COP,0.4262078676405879,0.30513104466592844,0.12677593719709737,0.20876604791888137,0.4250196872539094,0.12009288277042067,0.15017895635390044,0.5456048953940296,0.7067049121548942,0.546913835956918,0.20410205102551277,0.005618864944149838,0.12679379234215707,0.03778738902799909,0.02214532871972318,0.01848974518334369,0.03558784210603635,0.3117036337895234,0.8031195722507918,0.003576220429860676,0.21708185053380785,0.10306166451056491,0.20175647514141115,0.03898722832175666,0.042706193131787494,0.041584662085529384,0.44647825738474123,3.576710703285742
CVX,0.611751591422453,0.742857142857143,0.26720050298208997,0.5808051898492654,0.6321295983800203,0.26096217471388794,0.21983641894784303,0.4194161911849831,0.3231265686626031,0.4815658657829329,0.14757378689344675,0.0032494640640866523,0.23666154412242152,0.02549510585021625,0.07121107266435986,0.02134866376631448,0.05412363561575413,0.35858109170992614,0.8048678041526184,0.00420371702454379,0.16014234875444838,0.26002587322121606,0.33480202441202744,0.02778400179251624,0.040455924077878874,0.06489342184268464,0.409455554221387,2.704097812041118
DVN,0.11012350024934729,0.09641934293097085,0.030921173275583542,0.04047755335677488,0.15749803127460907,0.02617129189108972,0.07757181684393435,0.6099396344992971,0.7145930441018284,0.6459196354598178,0.08454227113556781,0.0060024822294934,0.04612454275881474,0.040291372638288185,0.05986159169550172,0.012119328775637041,0.01485948494953798,0.2850401132609722,0.8024157386279785,0.00024487671987633724,0.5800711743772242,0.19404915912031048,0.13536766894909202,0.036074389424154155,0.024117013990803245,0.01914737474147708,0.3963902468083833,9.139617884970212
EOG,0.2042887735046496,0.16138796603912883,0.06233135691644034,0.07446779513179054,0.23455956800539993,0.06336804797779194,0.07072132202265008,0.6266435127759862,0.7766224453209034,0.6778169014084507,0.19609804902451228,0.005754259280153447,0.09809311486764354,0.05372183018438424,0.08754325259515569,0.030609073958980732,0.039480836185747235,0.3387604215825075,0.8035736584590585,0.004326155384481958,0.298932384341637,0.141871496334627,0.21372432271509378,0.05646426170737172,0.03683592603463457,0.04651327640269531,0.36726301013926177,4.8310917344498865
FANG,0.0983895098125495,0.07308970099667775,0.02462516482269008,0.018071796549186357,0.1288108898638767,0.019231272860597278,0.019516754519502827,0.7891342098734806,0.520258157045536,0.7985708367854184,0.14807403701850927,0.002753018165406747,0.08644834527391182,0.08422490325517869,0.11044982698961936,0.0035736482287134865,0.0458638774221034,0.402784332232185,0.8040277446673251,0.0,0.4697508896797153,0.296248382923674,0.34257219410538853,0.06744342370602734,0.020692691517464043,0.053601807992527846,0.36950099124328567,7.448930408183755
HAL,0.051306873184898356,0.03669250645994832,0.03268510352174785,0.05805871289557609,0.11486106423669704,0.02690457692072665,0.11023990030117353,0.43190275365914166,0.497669415561133,0.4494614747307374,0.3546773386693347,0.008078528714882093,0.046297699184000334,0.035511040291372635,0.040830449826989614,0.030142945929148544,0.009111809728078036,0.2342299826962404,0.8087615933885048,0.0011427580260895739,0.5231316725978647,0.027166882276843468,0.11300982435248587,0.03092090522070356,0.044173759906075714,0.009982320368270063,0.3156924890947937,8.267004993725589
HES,0.0675877849159553,0.07102251753414544,0.042578831090580437,0.026085534385477144,0.11576105298683767,0.03673408815133607,0.032899852832779033,0.5243529314479451,0.4273933309429903,0.47897680198840104,0.17158579289644826,0.011621347173643236,0.0680721196510898,0.10585021625312997,0.3391003460207612,0.020820385332504663,0.046859161757576644,0.26451156205757437,0.809771935201898,0.003642541208160517,0.31672597864768687,0.07503234152652007,0.16427508186960404,0.0929867801926955,0.12347128461011639,0.053159817199279466,0.502751760218447,5.103783262963832
KMI,0.08225527296195254,0.06659283868586195,0.05692604591458036,0.04369395153596642,0.13004837439532008,0.030256737056209796,0.24263340670586062,0.4846605474241297,0.2391538185729652,0.48746893123446566,0.12306153076538273,0.001805257813381474,0.009155645981688705,0.0853630776234919,0.10830449826989617,0.0045059042883778735,0.0029013823801618895,0.22164543023438732,0.8103508951174381,6.632077829984135e-05,0.07829181494661924,0.04829667960327727,0.12503721345638585,0.04682948689222495,0.05454456511104588,0.002643605310561077,0.3706004960809899,1.4497167808769735
