,LogReturn
A,0.6865047063947793
AAP,-0.6493677695995617
AAPL,1.352391827372018
ABBV,0.6642666607091616
ABC,0.9435613396675882
ABT,0.5826845332682886
ACN,0.7490180105484168
ADBE,0.7302731045735378
ADM,0.6676204768902778
ADP,0.7110080922083224
AEE,0.4146830098469456
AEP,0.31746786843902175
AIZ,0.3622226776738504
AJG,1.2072148799835993
AKAM,0.21558250184496597
ALL,0.22735661065306978
ALLE,0.3713416638952438
AMCR,0.09859267637484947
AME,0.7583991532781331
AMGN,0.29808149371971204
AMT,0.3111954626935125
AMZN,0.3433411414475982
ANET,1.024235417983956
ANSS,0.5650507603555059
AON,0.8476646335878737
AOS,0.2926325060674113
APD,0.6890174385574221
APH,0.6762104309531733
ARE,0.0922650003669645
ATO,0.3786537754770469
ATVI,0.2895737076120284
AVB,0.17956773620835698
AVY,0.5784457243914369
AWK,0.5681336760744324
AZO,1.2304854961211964
BALL,0.41497416596972414
BAX,-0.4297612372977828
BDX,0.19048348332663068
BF-B,0.336180134836209
BG,0.7098050475427495
BIIB,-0.24927655886815003
BIO,0.25167739691609015
BMY,0.18800815897494694
BR,0.4489948155519503
BRK-B,0.5628637121955311
BRO,0.9210181729520275
BSX,0.41752060250729484
CAG,0.020669583101195155
CAH,0.7940466753585818
CB,0.48288633689505467
CBOE,0.3954544834156213
CCI,0.10806511376280792
CDNS,1.6300854700748242
CHD,0.5770003068251155
CHRW,0.15487718078050072
CHTR,0.3261301665569736
CI,0.4583251330016882
CINF,0.49815772966943594
CL,0.24660248151825126
CLX,0.2825653592487898
CMCSA,0.3575171215026307
CME,0.3861250818429811
CMG,1.4315918294881413
CMI,0.6581717995765697
CMS,0.3249740032860098
CNC,-0.015658580803656008
CNP,0.20430303091735302
COO,0.398641695544832
COST,0.9844137377970972
CPB,0.22747639403955366
CPRT,1.1270507301308683
CPT,0.2672073730960509
CRL,0.46446888641733164
CRM,0.4274147990238957
CSCO,0.3601515816694385
CSGP,0.6489355856716452
CSX,0.39184466358096337
CTLT,0.10702774593517317
CTRA,0.3830465001212069
CTSH,-0.05162690798087333
CVS,0.2800742464383381
D,-0.1361012751167765
DG,0.5893916168542042
DGX,0.3205820236168515
DHR,0.9559451756966464
DLR,0.1592908037240086
DLTR,0.5201089211628807
DPZ,0.4054847091338809
DTE,0.3309999737903606
DUK,0.31252693996081593
DVA,0.3118346920185946
DXCM,1.3740983194994332
EA,-0.030574055562627045
EBAY,0.32800145765377353
ECL,0.2654062016689487
ED,0.3250808785918151
EFX,0.48117751063737657
EIX,0.26278482929975766
EL,0.29203777888423943
ELV,0.6561204047816886
EQIX,0.6009920679546337
EQR,0.1342105757168035
EQT,0.4660275438735595
ES,0.26143333044281736
ESS,0.14784531393106803
ETR,0.3472711558004056
EVRG,0.2197894631295596
EW,0.5084400987633546
EXC,0.4650289464412256
EXPD,0.5465215167322119
EXR,0.5687896354818518
FAST,0.8348816907754317
FDS,0.8052385999158478
FE,0.2292419857633563
FFIV,-0.07631675602310217
FI,0.4935760918082801
FIS,-0.5167924122804903
FSLR,1.3053207260395685
FTNT,1.6258714629312707
FTV,0.15141003895633798
GD,0.26942134483279023
GEN,0.6138180943750786
GILD,0.1656109194693558
GIS,0.6270697490894501
GOOG,0.7449715254576432
GOOGL,0.730045996213394
GPC,0.5987017552427201
GRMN,0.6403761466451403
GWW,0.8262807135688757
HAS,-0.26424627192709327
HD,0.6411434219950047
HII,0.038605732536964865
HOLX,0.5905796820144906
HON,0.3512004107711677
HRL,0.20630376189448718
HSIC,0.22970928174612304
HSY,0.947919897820185
HUM,0.4357961515749542
IBM,0.2622661945041944
ICE,0.48498775565945706
IDXX,0.7482875009221921
IEX,0.43057643341550467
IFF,-0.37811253152998514
ILMN,-0.5769460547339191
INCY,0.03965372939971079
INTC,-0.21747156682084867
INVH,0.5049669346250241
IRM,0.8411483170632237
IT,0.8926710026850815
ITW,0.7065703535196723
J,0.6768661200131403
JBHT,0.5699065328044952
JCI,0.6151777830743348
JKHY,0.2575432677947296
JNJ,0.38508195330250405
JNPR,0.21742395822626737
K,0.09621767042961338
KDP,0.4581502495890235
KEYS,0.9759488486804582
KHC,-0.35811997709113497
KMB,0.2647516600746247
KO,0.4353266334014494
KR,0.5939240676519089
LDOS,0.41967087299304584
